year,league,section,team_count,avg_top_six,avg_team_rating,best_team,best_team_top_six
2026,65+ 4.0 Men,PIED,1,3.811666666666667,3.7269999999999994,PIED.PM,3.811666666666667
2026,65+ 4.0 Men,YAD,1,3.573333333333333,3.573333333333333,YAD.Team,3.573333333333333
2026,65+ 4.0 Women,SET,1,3.888333333333333,3.7169230769230763,SET.LATE,3.888333333333333
2026,65+ 4.0 Women,PIED,2,3.785,3.6677500000000003,PIED.Afternoon,3.8716666666666666
2026,65+ 4.0 Women,METRO,2,3.770833333333333,3.6475874125874124,METRO.Tennis,3.8699999999999997
2026,65+ 4.0 Women,YAD,1,3.716666666666667,3.716666666666667,YAD.Yadkin-Lesser,3.716666666666667
2026,65+ 4.0 Women,WNC,2,3.6766666666666667,3.5485,WNC.Park,3.6966666666666668
2026,65+ 4.0 Women,NEUSE,1,3.671666666666667,3.6020000000000003,NEUSE.SP,3.671666666666667
2026,65+ 4.0 Women,ENO,2,3.66,3.5550000000000006,ENO.EHoover-YMCA,3.661666666666667
2026,65+ 4.0 Women,CTRL,1,3.635,3.5480000000000005,CTRL.Kalat,3.635
2026,65+ 4.0 Women,CAP,2,3.615,3.5109722222222217,CAP.Broslawsky,3.701666666666666
2026,65+ 4.0 Women,LKN,1,2.966666666666667,2.858181818181818,LKN.Thurs,2.966666666666667
