year,league_type,league_name,gender,gender_label,level,area_name,flight,team_name,players_count_reported,top_six_reported,team_rating_reported,court_rating_reported,team_url,league_url,leaguefind_url
2026,3,Adult 55+,M,Men,3.5,Foothills (Hky),Adult 55 & Over 3.5 Men,Mozingo-Womack/PC/Foothills,9,3.31,3.25,3.25,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Mozingo-Womack%2fPC%2fFoothills&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=Men 3.5&year=2026&s=38,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Foothills+%28Hky%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Foothills (Hky),Adult 55 & Over 3.5 Men,Qualifier Team,9,3.12,3.04,3.04,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Qualifier Team&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=Men 3.5&year=2026&s=38,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Foothills+%28Hky%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Lake Norman,Adult 55 & Over 3.5 Men,LACH-Chapman/PAC,11,3.25,3.11,3.1,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=LACH-Chapman%2fPAC&year=2026,https://www.tennisrecord.com/adult/league.aspx?subflightname=M 3.5 Wed PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Lake+Norman&gender=M
2026,3,Adult 55+,M,Men,3.5,Lake Norman,Adult 55 & Over 3.5 Men,LARU-Rummelsburg/Peninsula Club,13,3.46,3.3,3.28,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=LARU-Rummelsburg%2fPeninsula Club&year=2026,https://www.tennisrecord.com/adult/league.aspx?subflightname=M 3.5 Wed PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Lake+Norman&gender=M
2026,3,Adult 55+,M,Men,3.5,Lake Norman,Adult 55 & Over 3.5 Men,LJFR-Franck/Westport 55s 3.5,12,3.35,3.23,3.23,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=LJFR-Franck%2fWestport 55s 3.5&year=2026,https://www.tennisrecord.com/adult/league.aspx?subflightname=M 3.5 Wed PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Lake+Norman&gender=M
2026,3,Adult 55+,M,Men,3.5,Lake Norman,Adult 55 & Over 3.5 Men,LKHA-Harris/Bailey/3.5 55+,11,3.52,3.42,3.44,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=LKHA-Harris%2fBailey%2f3.5 55%2b&year=2026,https://www.tennisrecord.com/adult/league.aspx?subflightname=M 3.5 Wed PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Lake+Norman&gender=M
2026,3,Adult 55+,M,Men,3.5,Lake Norman,Adult 55 & Over 3.5 Men,LKWO-Womack/Caldwell,11,3.3,3.21,3.22,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=LKWO-Womack%2fCaldwell&year=2026,https://www.tennisrecord.com/adult/league.aspx?subflightname=M 3.5 Wed PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Lake+Norman&gender=M
2026,3,Adult 55+,M,Men,3.5,Lake Norman,Adult 55 & Over 3.5 Men,LRAG-Age/Peninsula,12,3.39,3.26,3.25,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=LRAG-Age%2fPeninsula&year=2026,https://www.tennisrecord.com/adult/league.aspx?subflightname=M 3.5 Wed PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Lake+Norman&gender=M
2026,3,Adult 55+,M,Men,3.5,Lake Norman,Adult 55 & Over 3.5 Men,LSDA-Dagley/Westport,11,3.5,3.43,3.43,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=LSDA-Dagley%2fWestport&year=2026,https://www.tennisrecord.com/adult/league.aspx?subflightname=M 3.5 Wed PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Lake+Norman&gender=M
2026,3,Adult 55+,M,Men,3.5,Metro (Chl),Adult 55 & Over 3.5 Men,DBrantmeyer (Park Road),13,3.57,3.48,3.47,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=DBrantmeyer (Park Road)&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 %26 Over Adult 3.5 Men - Tues PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M
